timestamp,trial_id,planner_id,target_label,target_x,target_y,target_z,start_x,start_y,start_z,success,success_alpha,success_alpha_index,num_alpha_attempts,num_failed_alphas,num_interpolation_steps,alphas_tried,alphas_failed,planning_time_success_s,planning_time_total_s,num_traj_points,traj_duration_s
1763106488.936312,1,RRTConnectkConfigDefault,A,0.6,0.1,0.95,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,0.9,1,2,1,1,1.00;0.90,1.00,0.16209721565246582,10.265080213546753,60,3.141050407
1763106498.8297532,2,RRTConnectkConfigDefault,B,-0.6,-0.5,1.5,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.13191580772399902,0.13191580772399902,52,3.3332819750000002
1763106559.5544457,3,RRTConnectkConfigDefault,TOP_DIAG,0.45,0.45,1.8,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,0.55,4,5,4,4,1.00;0.90;0.80;0.70;0.55,1.00;0.90;0.80;0.70,0.15391230583190918,40.916146993637085,20,1.973908614
1763106580.1918778,4,RRTConnectkConfigDefault,LOW_BACK,-0.2,-0.8,0.65,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,0.8,2,3,2,2,1.00;0.90;0.80,1.00;0.90,0.22247719764709473,20.44579839706421,61,3.110600759
1763106580.468688,5,RRTConnectkConfigDefault,SIDE_SWEEP,0.8,-0.15,1.1,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.2217881679534912,0.2217881679534912,34,2.846984782
1763106580.69228,6,RRTConnectkConfigDefault,A,0.6,0.1,0.95,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.11590766906738281,0.11590766906738281,65,5.013870945
1763106598.6270053,7,RRTConnectkConfigDefault,B,-0.6,-0.5,1.5,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.16764259338378906,0.16764259338378906,53,3.7351397520000003
1763106659.5692565,8,RRTConnectkConfigDefault,TOP_DIAG,0.45,0.45,1.8,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,0.55,4,5,4,4,1.00;0.90;0.80;0.70;0.55,1.00;0.90;0.80;0.70,0.12399530410766602,41.111528396606445,20,1.9728145289999999
1763106679.8686128,9,RRTConnectkConfigDefault,LOW_BACK,-0.2,-0.8,0.65,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,0.8,2,3,2,2,1.00;0.90;0.80,1.00;0.90,0.09148979187011719,20.247421979904175,61,3.105194492
1763106680.0185223,10,RRTConnectkConfigDefault,SIDE_SWEEP,0.8,-0.15,1.1,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.10489273071289062,0.10489273071289062,52,2.946180482
1763106680.250957,11,RRTConnectkConfigDefault,A,0.6,0.1,0.95,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.16081643104553223,0.16081643104553223,67,3.2786275590000002
1763106698.5379584,12,RRTConnectkConfigDefault,B,-0.6,-0.5,1.5,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.13134002685546875,0.13134002685546875,25,2.398525763
1763106759.5169036,13,RRTConnectkConfigDefault,TOP_DIAG,0.45,0.45,1.8,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,0.55,4,5,4,4,1.00;0.90;0.80;0.70;0.55,1.00;0.90;0.80;0.70,0.10093498229980469,41.05722403526306,20,1.9689359990000002
1763106780.5542035,14,RRTConnectkConfigDefault,LOW_BACK,-0.2,-0.8,0.65,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,0.8,2,3,2,2,1.00;0.90;0.80,1.00;0.90,0.18604803085327148,20.966858625411987,61,3.109091446
1763106780.742196,15,RRTConnectkConfigDefault,SIDE_SWEEP,0.8,-0.15,1.1,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.1289844512939453,0.1289844512939453,49,2.824435611
1763106781.05291,16,RRTstarkConfigDefault,A,0.6,0.1,0.95,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.2453770637512207,0.2453770637512207,55,3.091203609
1763106798.7017546,17,RRTstarkConfigDefault,B,-0.6,-0.5,1.5,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.2122485637664795,0.2122485637664795,25,2.3971945
1763106859.4941044,18,RRTstarkConfigDefault,TOP_DIAG,0.45,0.45,1.8,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,0.55,4,5,4,4,1.00;0.90;0.80;0.70;0.55,1.00;0.90;0.80;0.70,0.09920907020568848,40.91996431350708,20,1.970961465
1763106880.5438976,19,RRTstarkConfigDefault,LOW_BACK,-0.2,-0.8,0.65,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,0.8,2,3,2,2,1.00;0.90;0.80,1.00;0.90,0.19101810455322266,20.99721646308899,61,3.110580997
1763106880.7715726,20,RRTstarkConfigDefault,SIDE_SWEEP,0.8,-0.15,1.1,-1.0924594562311543e-16,-0.050000000000000086,2.0109999999999997,1,1.0,0,1,0,0,1.00,,0.1176297664642334,0.1176297664642334,48,3.626275514
