timestamp,planner_id,planner_index,episode_id,episode_in_planner,slice_index,from_label,to_label,target_label,episode_time_s,distance_before,distance_after,goal_tolerance,goal_reached_after_slice,plan_success,exec_success,blocked_flag,planning_time_s,traj_full_duration_s,slice_duration_s,num_traj_points_full,num_traj_points_slice,blocked_slices_so_far_in_episode,total_planned_time_so_far_in_episode
1763955683.9461062,RRTConnectkConfigDefault,0,0,0,0,START,A,A,0.30216169357299805,1.2280964945801285,0.9147537204104744,0.03,0,1,1,0,0.23675251007080078,3.120658356,1.3848862149999999,56,24,0,1.3848862149999999
1763955686.2264538,RRTConnectkConfigDefault,0,0,0,1,START,A,A,2.621493339538574,0.9147537204104744,1.2217312660880821,0.03,0,1,1,0,0.15822410583496094,5.58896077,1.367253366,79,18,0,2.752139581
1763955688.6295958,RRTConnectkConfigDefault,0,0,0,2,START,A,A,4.900653123855591,1.2217312660880821,0.8979272242298286,0.03,0,1,1,0,0.22802376747131348,3.733865442,1.3660927840000001,65,20,0,4.118232365
1763955690.8238657,RRTConnectkConfigDefault,0,0,0,3,START,A,A,7.326268434524536,0.8979272242298286,1.2394952128151704,0.03,0,1,1,0,0.10466790199279785,3.831719683,1.3853195710000001,82,24,0,5.503551936
1763955693.0231009,RRTConnectkConfigDefault,0,0,0,4,START,A,A,9.50932002067566,1.2394952128151704,0.8655747618638505,0.03,0,1,1,0,0.10318160057067871,3.069421177,1.377163953,54,23,0,6.880715889
1763955695.2265012,RRTConnectkConfigDefault,0,0,0,5,START,A,A,11.722312927246094,0.8655747618638505,1.2094729805111217,0.03,0,1,1,0,0.12606382369995117,3.592166093,1.396771595,57,20,0,8.277487484
1763955697.637787,RRTConnectkConfigDefault,0,0,0,6,START,A,A,13.909817695617676,1.2094729805111217,1.0594350595904105,0.03,0,1,1,0,0.15924668312072754,3.6663658850000003,1.3867392889999999,70,22,0,9.664226773
1763955699.8551414,RRTConnectkConfigDefault,0,0,0,7,START,A,A,16.316522121429443,1.0594350595904105,0.8641981074445189,0.03,0,1,1,0,0.1276106834411621,3.288524524,1.374455967,58,22,0,11.038682739999999
1763955702.0367885,RRTConnectkConfigDefault,0,0,0,8,START,A,A,18.56722378730774,0.8641981074445189,1.2166397204975719,0.03,0,1,1,0,0.12803864479064941,3.888266965,1.397254921,86,26,0,12.435937660999999
1763955704.3527708,RRTConnectkConfigDefault,0,0,0,9,START,A,A,20.714429140090942,1.2166397204975719,1.205872518375308,0.03,0,1,1,0,0.18191862106323242,5.91717956,1.3824428260000001,86,20,0,13.818380486999999
1763955706.565283,RRTConnectkConfigDefault,0,0,0,10,START,A,A,23.019176244735718,1.205872518375308,1.127963313587512,0.03,0,1,1,0,0.12868118286132812,5.005626178,1.382077324,63,19,0,15.200457811
1763955711.7933953,RRTConnectkConfigDefault,0,0,0,11,START,A,A,25.22571587562561,1.127963313587512,1.127963313587512,0.03,0,0,0,1,5.137498140335083,0.0,0.0,0,0,1,15.200457811
1763955714.1956398,RRTConnectkConfigDefault,0,0,0,12,START,A,A,30.502102613449097,1.127963313587512,1.1515279231764364,0.03,0,1,1,0,0.20790696144104004,5.6927755399999995,1.344496839,70,11,1,16.54495465
1763955716.5238013,RRTConnectkConfigDefault,0,0,0,13,START,A,A,32.87879991531372,1.1515279231764364,0.8744640833735651,0.03,0,1,1,0,0.1386420726776123,3.017480899,1.389915476,52,23,1,17.934870126
1763955718.7084825,RRTConnectkConfigDefault,0,0,0,14,START,A,A,35.170225381851196,0.8744640833735651,0.2884390875122856,0.03,0,1,1,0,0.12011885643005371,2.320893841,1.3759274000000001,30,20,1,19.310797526
1763955720.8000915,RRTConnectkConfigDefault,0,0,0,15,START,A,A,37.375483751297,0.2884390875122856,7.620373559749079e-05,0.03,1,1,1,0,0.20662832260131836,1.263494412,1.263494412,11,11,1,20.574291938000002
1763955722.9939747,RRTConnectkConfigDefault,0,1,1,0,A,B,B,0.10252881050109863,1.4500275598712606,1.3343271833237946,0.03,0,1,1,0,0.1201622486114502,4.009329491,1.362828066,61,16,0,1.362828066
1763955728.2128098,RRTConnectkConfigDefault,0,1,1,1,A,B,B,2.290968418121338,1.3343271833237946,1.3343271833237946,0.03,0,0,0,1,5.111522674560547,0.0,0.0,0,0,1,1.362828066
1763955730.42184,RRTConnectkConfigDefault,0,1,1,2,A,B,B,7.463945627212524,1.3343271833237946,0.9779343350618188,0.03,0,1,1,0,0.11617231369018555,3.274128958,1.365145694,45,17,1,2.7279737600000002
1763955732.5918686,RRTConnectkConfigDefault,0,1,1,3,A,B,B,9.70855975151062,0.9779343350618188,0.9104595901108556,0.03,0,1,1,0,0.08208656311035156,4.261184355,1.352707368,62,15,1,4.080681128
1763955734.8569748,RRTConnectkConfigDefault,0,1,1,4,A,B,B,11.864827156066895,0.9104595901108556,0.30386970543332764,0.03,0,1,1,0,0.20827078819274902,2.250481383,1.366495329,23,16,1,5.447176457
1763955736.8501332,RRTConnectkConfigDefault,0,1,1,5,A,B,B,14.168708324432373,0.30386970543332764,8.87951832017329e-05,0.03,1,1,1,0,0.15827059745788574,1.226585235,1.226585235,8,8,1,6.673761692
1763955739.2596817,RRTConnectkConfigDefault,0,2,2,0,B,A,A,0.20142531394958496,1.4499839300406359,1.3208962027546436,0.03,0,1,1,0,0.1922295093536377,4.342003684,1.368360151,82,20,0,1.368360151
1763955741.5570323,RRTConnectkConfigDefault,0,2,2,1,B,A,A,2.4992823600769043,1.3208962027546436,1.0071047668291944,0.03,0,1,1,0,0.1946852207183838,3.595152079,1.350294099,47,15,0,2.71865425
1763955743.8506572,RRTConnectkConfigDefault,0,2,2,2,B,A,A,4.800450801849365,1.0071047668291944,0.5870825099119623,0.03,0,1,1,0,0.18886041641235352,2.936451764,1.350210603,33,15,0,4.068864853
1763955746.056825,RRTConnectkConfigDefault,0,2,2,3,B,A,A,7.1005542278289795,0.5870825099119623,0.1579402964791736,0.03,0,1,1,0,0.13642311096191406,2.175892546,1.363565352,19,14,0,5.432430205
1763955747.9509382,RRTConnectkConfigDefault,0,2,2,4,B,A,A,9.300094366073608,0.1579402964791736,7.180195122820711e-05,0.03,1,1,1,0,0.16200852394104004,1.108658816,1.108658816,6,6,0,6.541089021
1763955750.1649306,RRTConnectkConfigDefault,0,3,3,0,A,B,B,0.09175348281860352,1.4500395067708745,1.4359334614410715,0.03,0,1,1,0,0.1653449535369873,4.49459857,1.396136681,78,18,0,1.396136681
1763955752.3538537,RRTConnectkConfigDefault,0,3,3,1,A,B,B,2.2962074279785156,1.4359334614410715,1.2438608882027022,0.03,0,1,1,0,0.133833646774292,3.661054363,1.35635331,53,16,0,2.752489991
1763955754.6354418,RRTConnectkConfigDefault,0,3,3,2,A,B,B,4.53125524520874,1.2438608882027022,0.8811199617056323,0.03,0,1,1,0,0.14961838722229004,7.276498049,1.399043265,67,12,0,4.1515332560000004
1763955757.342216,RRTConnectkConfigDefault,0,3,3,3,A,B,B,6.837514400482178,0.8811199617056323,0.9409461733129748,0.03,0,1,1,0,0.15848135948181152,6.139429169,1.387238247,75,8,0,5.538771503
1763955759.5542636,RRTConnectkConfigDefault,0,3,3,4,A,B,B,9.526668071746826,0.9409461733129748,0.8646721996526198,0.03,0,1,1,0,0.06911945343017578,3.296284723,1.371814288,40,15,0,6.910585791000001
1763955761.7453883,RRTConnectkConfigDefault,0,3,3,5,A,B,B,11.679356336593628,0.8646721996526198,0.4609404917228912,0.03,0,1,1,0,0.15108013153076172,2.638730852,1.398232003,26,15,0,8.308817794000001
1763955763.9430008,RRTConnectkConfigDefault,0,3,3,6,A,B,B,13.884522676467896,0.4609404917228912,0.0746959578451868,0.03,0,1,1,0,0.14372038841247559,1.740368228,1.263812497,14,12,0,9.572630291000001
1763955765.4439795,RRTConnectkConfigDefault,0,3,3,7,A,B,B,16.079447031021118,0.0746959578451868,5.9751842527111965e-05,0.03,1,1,1,0,0.135300874710083,0.684736183,0.684736183,3,3,0,10.257366474000001
1763955767.640411,RRTConnectkConfigDefault,0,4,4,0,B,A,A,0.10339546203613281,1.4499433748738977,1.3215494864312352,0.03,0,1,1,0,0.13255047798156738,3.890548129,1.357774077,53,15,0,1.357774077
1763955769.9455724,RRTConnectkConfigDefault,0,4,4,1,B,A,A,2.2960710525512695,1.3215494864312352,1.3890414369679658,0.03,0,1,1,0,0.1576223373413086,5.187411953,1.3658949950000001,93,16,0,2.723669072
1763955772.1410432,RRTConnectkConfigDefault,0,4,4,2,B,A,A,4.5943686962127686,1.3890414369679658,1.2634417561837974,0.03,0,1,1,0,0.12592077255249023,4.359332676,1.362434831,79,18,0,4.086103903
1763955774.3455944,RRTConnectkConfigDefault,0,4,4,3,B,A,A,6.805580377578735,1.2634417561837974,1.0242211774027536,0.03,0,1,1,0,0.14379119873046875,3.5369046539999998,1.3773200669999999,63,21,0,5.463423969999999
1763955776.6475077,RRTConnectkConfigDefault,0,4,4,4,B,A,A,8.995845794677734,1.0242211774027536,0.9097942539318794,0.03,0,1,1,0,0.16983771324157715,4.124245773,1.358314764,64,16,0,6.821738733999999
1763955778.9418156,RRTConnectkConfigDefault,0,4,4,5,B,A,A,11.31083083152771,0.9097942539318794,0.7165793909817587,0.03,0,1,1,0,0.16576027870178223,3.892607596,1.3661629290000001,64,18,0,8.187901663
1763955781.1682591,RRTConnectkConfigDefault,0,4,4,6,B,A,A,13.593693971633911,0.7165793909817587,1.1894768425870308,0.03,0,1,1,0,0.17135381698608398,4.336101498,1.378124018,85,20,0,9.566025681
1763955783.44447,RRTConnectkConfigDefault,0,4,4,7,B,A,A,15.80420470237732,1.1894768425870308,0.9902510821699716,0.03,0,1,1,0,0.12972784042358398,4.065204913,1.361841389,49,15,0,10.92786707
1763955785.7518673,RRTConnectkConfigDefault,0,4,4,8,B,A,A,18.09472966194153,0.9902510821699716,1.1782946479476781,0.03,0,1,1,0,0.13157987594604492,3.734995708,1.370849166,73,18,0,12.298716235999999
1763955788.041856,RRTConnectkConfigDefault,0,4,4,9,B,A,A,20.398569583892822,1.1782946479476781,1.1289683116458018,0.03,0,1,1,0,0.2356550693511963,5.4831681230000004,1.393119478,74,19,0,13.691835714
1763955790.3468928,RRTConnectkConfigDefault,0,4,4,10,B,A,A,22.702141523361206,1.1289683116458018,1.1773634048512829,0.03,0,1,1,0,0.16893315315246582,3.734346452,1.391362824,74,23,0,15.083198538
1763955792.6419215,RRTConnectkConfigDefault,0,4,4,11,B,A,A,25.00337314605713,1.1773634048512829,1.0600955002067576,0.03,0,1,1,0,0.2071685791015625,3.703451078,1.383516298,62,19,0,16.466714836
1763955795.0435252,RRTConnectkConfigDefault,0,4,4,12,B,A,A,27.299030303955078,1.0600955002067576,0.7338592135180926,0.03,0,1,1,0,0.21628499031066895,3.056440914,1.388327359,44,19,0,17.855042195000003
1763955797.2428133,RRTConnectkConfigDefault,0,4,4,13,B,A,A,29.701829433441162,0.7338592135180926,0.2560198515072384,0.03,0,1,1,0,0.2361593246459961,2.284112673,1.371023957,26,18,0,19.226066152
1763955799.3457673,RRTConnectkConfigDefault,0,4,4,14,B,A,A,31.894622087478638,0.2560198515072384,7.435620481024518e-05,0.03,1,1,1,0,0.21331524848937988,1.219546406,1.219546406,9,9,0,20.445612558
1763955801.5465696,RRTConnectkConfigDefault,0,5,5,0,A,B,B,0.11542034149169922,1.4499779130223955,1.377974377506722,0.03,0,1,1,0,0.11183977127075195,3.972505776,1.394978485,66,19,0,1.394978485
1763955803.8409643,RRTConnectkConfigDefault,0,5,5,1,A,B,B,2.297008752822876,1.377974377506722,1.3137613351519692,0.03,0,1,1,0,0.2514820098876953,3.689407268,1.349800898,40,12,0,2.744779383
1763955806.042763,RRTConnectkConfigDefault,0,5,5,2,A,B,B,4.5999436378479,1.3137613351519692,0.9541530239130761,0.03,0,1,1,0,0.1482677459716797,3.072593102,1.352268155,26,11,0,4.097047538
1763955808.2598498,RRTConnectkConfigDefault,0,5,5,3,A,B,B,6.798267126083374,0.9541530239130761,0.3664593357736487,0.03,0,1,1,0,0.14084577560424805,2.334231485,1.3576604030000001,24,16,0,5.454707941000001
1763955810.644092,RRTConnectkConfigDefault,0,5,5,4,A,B,B,8.993385076522827,0.3664593357736487,7.596969055046492e-05,0.03,1,1,1,0,0.1454908847808838,1.380408921,1.380408921,7,7,0,6.8351168620000005
1763955813.8440504,RRTConnectkConfigDefault,0,6,6,0,B,A,A,0.11263918876647949,1.449960636503775,1.2967092554136135,0.03,0,1,1,0,0.13370275497436523,4.207786379,1.3909587,70,18,0,1.3909587
1763955816.3867133,RRTConnectkConfigDefault,0,6,6,1,B,A,A,3.6491997241973877,1.2967092554136135,1.0045523606113027,0.03,0,1,1,0,0.14298462867736816,3.906518799,1.381747639,60,17,0,2.772706339
1763955818.5858881,RRTConnectkConfigDefault,0,6,6,2,B,A,A,5.839473485946655,1.0045523606113027,0.8421537598222046,0.03,0,1,1,0,0.13226079940795898,4.007104798,1.375142482,57,15,0,4.147848821
1763955820.8188071,RRTConnectkConfigDefault,0,6,6,3,B,A,A,8.078245878219604,0.8421537598222046,0.5936480345841392,0.03,0,1,1,0,0.11634683609008789,3.4398490600000002,1.371938041,44,15,0,5.519786862
1763955822.9866679,RRTConnectkConfigDefault,0,6,6,4,B,A,A,10.278009414672852,0.5936480345841392,0.2802720168588057,0.03,0,1,1,0,0.12244629859924316,2.787569681,1.372662291,29,15,0,6.892449153
1763955825.0856476,RRTConnectkConfigDefault,0,6,6,5,B,A,A,12.44294810295105,0.2802720168588057,0.051894697186837264,0.03,0,1,1,0,0.1154634952545166,1.940474616,1.333627235,16,13,0,8.226076388000001
1763955826.6870613,RRTConnectkConfigDefault,0,6,6,6,B,A,A,14.580352306365967,0.051894697186837264,7.975234890383588e-05,0.03,1,1,1,0,0.08570098876953125,0.824747378,0.824747378,4,4,0,9.050823766
1763955828.888123,RRTConnectkConfigDefault,0,7,7,0,A,B,B,0.09779953956604004,1.4500434934092028,1.4182897393679734,0.03,0,1,1,0,0.16233372688293457,7.176940847,1.394714362,96,17,0,1.394714362
1763955831.1996677,RRTConnectkConfigDefault,0,7,7,1,A,B,B,2.2982125282287598,1.4182897393679734,1.298676103024702,0.03,0,1,1,0,0.22131919860839844,4.113224092,1.3729587890000001,61,16,0,2.7676731510000003
1763955833.488619,RRTConnectkConfigDefault,0,7,7,2,A,B,B,4.606011390686035,1.298676103024702,1.0179731997773613,0.03,0,1,1,0,0.19866442680358887,3.194757437,1.361172865,33,13,0,4.128846016000001
1763955835.6872597,RRTConnectkConfigDefault,0,7,7,3,A,B,B,6.90807032585144,1.0179731997773613,0.4914308838749355,0.03,0,1,1,0,0.12151122093200684,2.4860765750000002,1.371113635,21,13,0,5.499959651000001
1763955837.8862293,RRTConnectkConfigDefault,0,7,7,4,A,B,B,9.100549221038818,0.4914308838749355,0.652828494552186,0.03,0,1,1,0,0.13933467864990234,4.168624703,1.395180192,61,16,0,6.895139843000001
