planner_id,n_trials,mean_alpha,median_alpha,mean_attempts,frac_needing_interp,mean_planning_time,median_planning_time,mean_traj_duration,planning_overhead
ABITstarkConfigDefault,15,0.87,1.0,2.2,0.4,12.594296518961588,0.2070248126983642,3.1786226420666663,12.441976340611776
BFMTkConfigDefault,15,0.8566666666666667,1.0,2.3333333333333335,0.4666666666666667,14.09130957921346,0.1911571025848388,3.198043962066667,13.896713654200235
BKPIECEkConfigDefault,15,0.8566666666666667,0.9,2.3333333333333335,0.5333333333333333,13.89509924252828,10.412845849990845,2.8776971453333333,13.737918106714885
BiTRRTkConfigDefault,15,0.87,1.0,2.2,0.4,12.793245474497477,0.2140820026397705,2.7912729478,12.628442811965941
LBKPIECEkConfigDefault,15,0.87,1.0,2.2,0.4,12.499087111155193,0.1778576374053955,3.0816184492666663,12.367302227020264
PRMkConfigDefault,15,0.8366666666666667,0.9,2.533333333333333,0.5333333333333333,15.922847795486451,10.356675148010254,2.8843760698,15.725134213765463
PRMstarkConfigDefault,15,0.8466666666666666,1.0,2.4,0.4666666666666667,14.538349707921347,0.4274306297302246,3.0014564605333334,14.379482587178549
RRTConnectkConfigDefault,15,0.8633333333333333,1.0,2.2666666666666666,0.4666666666666667,13.078223101298015,0.2217881679534912,2.983909541,12.93127358754476
RRTstarkConfigDefault,15,0.8566666666666667,0.9,2.3333333333333335,0.5333333333333333,13.745313199361165,10.211338520050049,2.8879489350666665,13.602524630228679
SPARSkConfigDefault,15,0.8633333333333333,1.0,2.2666666666666666,0.4,13.296840333938599,0.1943955421447754,3.4416754064666666,13.101651414235434
STRIDEkConfigDefault,15,0.8566666666666667,0.9,2.3333333333333335,0.5333333333333333,14.035046593348186,10.586682796478271,2.961617929066667,13.877536551157634
